id,origin,code
119167048,Native,SB
119167048,Introduced,AS
119167048,Introduced,FM
119167048,Introduced,TV
119167048,Introduced,CK
119167048,Native,CX
119167048,Native,TW
119167048,Native,BOR-SB
119167048,Native,MLY-PM
119167048,Introduced,WS
119167048,Native,DT
119167048,Native,SCS-PI
119167048,Native,SCS-SI
119167048,Native,MY
119167307,Native,FJ
119167307,Native,TO
119167307,Native,NC
119173390,Native,YE
119173390,Native,SA
119173390,Native,JO
119173390,Native,IL
119173390,Native,EG
119173390,Native,EGY-OO
119173390,Native,SIN-OO
119863804,Native,SUL-OO
119863804,Native,ID
119875299,Native,NC
119875560,Native,NC
122659197,Native,FJ
122659202,Native,NWG-IJ
122659202,Native,ID
122659202,Native,NWG-PN
122659202,Native,PG
122659212,Native,MLY-PM
122659212,Native,MY
122659432,Native,PE
122659582,Native,BR
122659582,Native,PE
124411670,Native,YE
124411670,Native,AE
124411670,Native,NC
124411670,Native,OM
124411670,Native,ID
124411670,Native,EG
124411670,Native,IR
124411670,Native,AU
124411670,Native,ZA
124411670,Native,VN
124411670,Native,VU
124411670,Native,IQ
124411670,Native,MY
124411670,Native,WAU-WA
124411670,Native,SA
124411670,Native,KE
124411670,Native,ER
124411670,Native,SB
124411670,Native,FJ
124411670,Native,LK
124411670,Native,TW
124411670,Native,TH
124411670,Native,MM
124411670,Native,SG
124411670,Native,PK
124411670,Native,SC
124411670,Native,QLD-QU
124411670,Native,MG
124411670,Native,SD
124411670,Native,PH
124411670,Native,IN
124411670,Native,NTA-OO
124411670,Native,GN
124411670,Native,GW
124411670,Native,DJ
124411670,Native,BH
124411670,Native,KW
124411670,Native,QA
124411670,Native,IL
124411670,Native,MV
124411670,Native,SO
124411670,Native,PG
124411670,Native,GM
124411670,Native,SN
124411670,Native,TZ
124411670,Native,BD
124411670,Native,BN
124411670,Native,KH
124411670,Native,TL
124411670,Native,MZ
124411670,Native,JO
124411670,Native,MH
124411670,Native,FM
124424011,Native,YE
124424011,Native,BH
124424011,Native,IN
124424011,Native,SA
124424011,Native,IR
124424011,Native,ZA
124424011,Native,MG
124424011,Native,KW
124424011,Native,SD
124424011,Native,NTA-OO
124424011,Native,AE
124424011,Native,QLD-QU
124424011,Native,EG
124424011,Native,WAU-WA
124424011,Native,TH
124424011,Native,PK
124424011,Native,DJ
124424011,Native,ER
124424011,Native,ID
124424011,Native,SO
124424011,Native,VN
124424011,Native,PG
124424011,Native,CN
124424011,Native,PH
124424011,Native,MY
124424011,Native,LK
124424011,Native,TZ
124424011,Native,QA
124424011,Native,OM
124424011,Native,AU
124424011,Native,MZ
124424011,Native,KE
124424011,Native,MM
124424011,Native,IL
124424011,Native,JO
124424011,Native,BD
124424011,Native,BN
124424011,Native,KH
124424011,Native,SG
124424011,Native,TW
124424011,Native,MV
124424011,Native,SC
124424011,Native,IQ
124424595,Native,DZ
124424595,Native,HAW-HI
124424595,Native,MX
124424595,Native,FLA-OO
124424595,Native,CPI-CO
124424595,Native,GEO-OO
124424595,Native,AU
124424595,Native,EH
124424595,Native,TN
124424595,Native,NCA-OO
124424595,Native,MA
124424595,Native,SCA-OO
124424595,Native,WAU-WA
124424595,Native,MDR-OO
124424595,Native,TR
124424595,Native,CC
124424595,Native,NSW-NS
124424595,Native,CR
124424595,Native,CL
124424595,Native,PT
124424595,Native,IL
124424595,Native,BZL-SP
124424595,Native,LB
124424595,Native,EC
124424595,Native,SY
124424595,Native,BZE-RN
124424595,Native,CO
124424595,Native,CGS-OO
124424595,Native,US
124424595,Native,MG
124424595,Native,MT
124424595,Native,CV
124424595,Native,GR
124424595,Native,LK
124424595,Native,ALA-OO
124424595,Native,CPI-MA
124424595,Native,MV
124424595,Native,CAL-OO
124424595,Native,GAL-OO
124424595,Native,JAW-OO
124424595,Native,HR
124424595,Native,NZN-OO
124424595,Native,CY
124424595,Native,FR
124424595,Native,TZ
124424595,Native,NAT-OO
124424595,Native,BR
124424595,Native,IO
124424595,Native,BZE-FN
124424595,Native,ZA
124424595,Native,ID
124424595,Native,NC
124424595,Native,ES
124424595,Native,BAL-OO
124424595,Native,KER-OO
124424595,Native,TW
124424595,Native,CNY-OO
124424595,Native,NZ
124424595,Native,VIC-OO
124424595,Native,JP
124424595,Native,IT
124424595,Native,AZO-OO
124424595,Native,JAP-HN
124424595,Native,VE
124424595,Native,AL
124424595,Native,BA
124424595,Native,GI
124424595,Native,MC
124424595,Native,ME
124424595,Native,SI
124424595,Native,EG
124424595,Native,LY
124424595,Native,PS
124424595,Native,SC
124424595,Native,YE
124424595,Native,IN
124424595,Native,AND-AN
124424595,Native,BM
124424595,Native,PF
124424595,Native,NG
124424595,Native,MCI-OO
124424595,Native,IE
124424595,Native,GB
124424595,Native,KE
124424595,Native,TF
